cluster,segment code,segment,Family code,Family                   ,MC. Desc            ,Class code,Class                 ,Brick code,Brick,Article Code,UOM,foodcouponaccepted,weightedItem,speciality,finiteinventory,Desc,Sarla Grand,Super Vidyaranyanpur,Ascendas Park,Vijaynagar TTMC,L3 code,L3,L2 Code,L2,L1 code,L1,,RRP,MRP1,MRP2,MRP3,MRP4,MRP5
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491186635,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE CASHEW BROKEN 200 g PP        ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,,219,235,205,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491203241,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE W240 CASHEW 500 g PP          ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,629,725,1000,500,550,599
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491251577,kg,TRUE,TRUE,FALSE,TRUE,GOURMIA R&S CASHEWS 200 g CBD           ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,340,340,270,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491251578,kg,TRUE,TRUE,FALSE,TRUE,GOURMIA R&S CASHEWS & PEPPER 200 g CBD  ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,340,340,270,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491251579,kg,TRUE,TRUE,FALSE,TRUE,GOURMIA ROAST CASHEW TANGY MSL 200 g CBD,Y,Y,Y,Y,163,Namkeens & Mixtures,16,Munchies,1,Confectionery & Snacks,Save 2 %,340,340,270,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491264325,kg,TRUE,TRUE,FALSE,TRUE,WONDERLAND CASHEW BLACK PEPPER 200 g PP ,N,N,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,365,365,330,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491264327,kg,TRUE,TRUE,FALSE,TRUE,WONDERLAND CASHEW R & S 200 g PP        ,N,N,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,360,360,325,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491264330,kg,TRUE,TRUE,FALSE,TRUE,WONDERLAND ROASTED CASHEW PEPER 100 g PP,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,190,190,150,170,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491264333,kg,TRUE,TRUE,FALSE,TRUE,WONDERLAND SALTED CASHEW 100 g PP       ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,190,190,170,150,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491264397,kg,TRUE,TRUE,FALSE,TRUE,NUTRAJ SIG R&S CASHEW 200 g 1+1 PCH     ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,449,449,390,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,CASHEWS             ,180101,DRY FRUITS            ,180101002,ALMONDS             ,491296179,kg,TRUE,TRUE,FALSE,TRUE,TULSI CASHEWS W-320 200 g PP            ,Y,Y,Y,Y,143,Cashews & Peanuts,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,249,305,340,275,0,0
